Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
CEMIG;PN   N1;CMIG4;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL;
CESP;ON   N1;CESP3;IGCX;
CESP;PNB  N1;CESP6;IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL;
CHARTER COMM;DRN;CHCM34;BDRX;
CHEVRON;DRN;CHVX34;BDRX;
CHINA LIFE I;DRN;L1FC34;BDRX;
CHINA PETROL;DRN;C1HI34;BDRX;
CIELO;ON   NM;CIEL3;IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL;
CIGNA CORP;DRN;C1IC34;BDRX;
CISCO;DRN;CSCO34;BDRX;
CITIGROUP;DRN;CTGP34;BDRX;
CLEARSALE;ON   NM;CLSA3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG;
COCA COLA;DRN;COCA34;BDRX;
COELCE;PNA;COCE5;IEEX;
COGNA ON;ON   NM;COGN3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
COLGATE;DRN;COLG34;BDRX;
COMCAST;DRN;CMCS34;BDRX;
COPASA;ON   NM;CSMG3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL;
COPEL;ON   N2;CPLE3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL;
COPEL;PNB  N2;CPLE6;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,MLCX,UTIL;
COPHILLIPS;DRN;COPH34;BDRX;
CORTEVA INC;DRN;C1TV34;BDRX;
COSAN;ON   NM;CSAN3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
COSTAR GROUP;DRN;C1GP34;BDRX;
COSTCO;DRN;COWC34;BDRX;
COTEMINAS;PN;CTNM4;ITAG;
COTY INC;DRN;COTY34;BDRX;
COUPA SOFTWA;DRN;C1OU34;BDRX;
CPFL ENERGIA;ON   NM;CPFE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
CR2;ON;CRDE3;ITAG;
CREDIT SUISS;DRN;C1SU34;BDRX;
CRUZEIRO EDU;ON   NM;CSED3;IGCX,IGNM,ITAG,SMLL;
CSNMINERACAO;ON   N2;CMIN3;IBOV,IBRA,IBXX,IGCT,IGCX,IMAT,ITAG,MLCX;
CSU CARDSYST;ON   NM;CARD3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
CTRIPCOM;DRN;CRIP34;BDRX;
CURY S/A;ON   NM;CURY3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
CVC BRASIL;ON   NM;CVCB3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
CVS HEALTH;DRN;CVSH34;BDRX;
CYRELA REALT;ON   NM;CYRE3;IBOV,IBRA,IBXL,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL;
D1000VFARMA;ON   NM;DMVF3;IGCX,IGNM,ITAG;
DANAHER CORP;DRN;DHER34;BDRX;
DASA;ON   NM;DASA3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG;
DATADOG INC;DRN;D1DG34;BDRX;
DEERE CO;DRN;DEEC34;BDRX;
DELTA;DRN;DEAI34;BDRX;
DESKTOP;ON   NM;DESK3;IGCX,IGNM,ITAG;
DEUTSCHE AK;DRN;DBAG34;BDRX;
DEVON ENERGY;DRN;D1VN34;BDRX;
DEXCO;ON   NM;DXCO3;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,MLCX;
DEXCOM INC;DRN;D1EX34;BDRX;
DEXXOS PAR;ON   N1;DEXP3;IBRA,IGCT,IGCX,IMAT,SMLL;
DEXXOS PAR;PN   N1;DEXP4;IGCX;
DIAGEO PL;DRN;DEOP34;BDRX;
DIAMONDBACK;DRN;F1AN34;BDRX;
DIGITAL REAL;DRN;D1LR34;BDRX;
DIMED;ON   NM;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
DIRECIONAL;ON   NM;DIRR3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
DISCOVERY IN;DRN;DCVY34;BDRX;
DOCUSIGN INC;DRN;D1OC34;BDRX;
DOLLAR GENER;DRN;DGCO34;BDRX;
DOTZ SA;ON   NM;DOTZ3;IGCX,IGNM,ITAG;
DOW INC;DRN;D1OW34;BDRX;
EATON CORP P;DRN;E1TN34;BDRX;
EBAY;DRN;EBAY34;BDRX;
ECORODOVIAS;ON   NM;ECOR3;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
ELECTR ARTS;DRN;EAIN34;BDRX;
ELETROBRAS;ON   N1;ELET3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IVBX,MLCX,UTIL;
ELETROBRAS;PNB  N1;ELET6;IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,MLCX,UTIL;
ELETROMIDIA;ON   NM;ELMD3;IGCX,IGNM,ITAG;
EMBRAER;ON   NM;EMBR3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX;
ENAUTA PART;ON   NM;ENAT3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL;
ENEL AMERICA;DRN;E1NI34;BDRX;
ENERGIAS BR;ON   NM;ENBR3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
ENERGISA;UNT  N2;ENGI11;IBOV,IBRA,IBXX,IEEX,IGCT,IGCX,ITAG,MLCX,UTIL;
ENEVA;ON   NM;ENEV3;IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL;
ENGIE BRASIL;ON   NM;EGIE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
ENJOEI;ON   NM;ENJU3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
EQUATORIAL;ON   NM;EQTL3;IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL;
EQUINIX INC;DRN;EQIX34;BDRX;
EQUINOR ASA;DRN;E1QN34;BDRX;
EQUITY RESID;DRN;E1QR34;BDRX;
ERICSSON LM;DRN;E1RI34;BDRX;
ESPACOLASER;ON   NM;ESPA3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ESSEX PROPER;DRN;E1SS34;BDRX;
ESTAPAR;ON   NM;ALPK3;IGCX,IGNM,ITAG;
ESTEE LAUDER;DRN;ELCI34;BDRX;
EUCATEX;ON   N1;EUCA3;IGCX;
EUCATEX;PN   N1;EUCA4;IGCX;
EVEN;ON   NM;EVEN3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
EXXON MOBIL;DRN;EXXO34;BDRX;
EZTEC;ON   NM;EZTC3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
FEDERAL REAL;DRN;F1RI34;BDRX;
FEDEX CORP;DRN;FDXB34;BDRX;
FERBASA;ON   N1;FESA3;IGCX;
FERBASA;PN   N1;FESA4;IBRA,IGCT,IGCX,IMAT,SMLL;
FIDELITY NAT;DRN;F1NI34;BDRX;
FII ABSOLUTO;CI;BPFF11;IFIX;
FII AFHI CRI;CI;AFHI11;IFIX;
FII ALIANZA;CI;ALZR11;IFIL,IFIX;
FII ARCTIUM;CI;ARCT11;IFIX;
FII AUTONOMY;CI;AIEC11;IFIX;
FII BARIGUI;CI;BARI11;IFIL,IFIX;
FII BB PRGII;CI;BBPO11;IFIL,IFIX;
FII BC FFII;CI;BCFF11;IFIL,IFIX;
FII BC FUND;CI;BRCR11;IFIL,IFIX;
FII BCIA;CI;BCIA11;IFIX;
FII BEES CRI;CI;BCRI11;IFIL,IFIX;
FII BLUE FOF;CI;BLMR11;IFIX;
